"id","cup","time_hm"
1,"CUP","10:00"
2,"CUP","10:00"
3,"OWN","10:02"
4,"CUP","10:03"
5,"SUC","10:12"
6,"SUC","10:12"
7,"SUC","10:13"
8,"CUP","10:14"
9,"SUC","10:15"
10,"SUC","10:16"
11,"SUC","10:20"
12,"SUC","10:25"
13,"SUC","10:25"
14,"CUP","10:27"
15,"CUP","10:29"
16,"CUP","10:30"
17,"SUC","10:37"
18,"CUP","10:38"
19,"CUP","10:38"
20,"CUP","10:43"
21,"CUP","10:49"
22,"SUC","10:52"
23,"CUP","10:53"
24,"CUP","10:55"
25,"OWN","10:56"
26,"CUP","10:58"
27,"SUC","11:00"
